date,temperature
2024-01-01,20
2024-01-02,17
2024-01-03,24
2024-01-04,27
2024-01-05,19
2024-01-06,20
2024-01-07,27
2024-01-08,26
2024-01-09,26
2024-01-10,16
2024-01-11,16
2024-01-12,27
2024-01-13,31
2024-01-14,25
2024-01-15,20
2024-01-16,26
2024-01-17,20
2024-01-18,25
2024-01-19,17
2024-01-20,27
2024-01-21,29
2024-01-22,26
2024-01-23,30
2024-01-24,28
2024-01-25,17
2024-01-26,24
2024-01-27,26
2024-01-28,28
2024-01-29,27
2024-01-30,29
2024-01-31,21
2024-02-01,14
2024-02-02,19
2024-02-03,24
2024-02-04,29
2024-02-05,23
2024-02-06,27
2024-02-07,28
2024-02-08,23
2024-02-09,28
2024-02-10,28
2024-02-11,16
2024-02-12,29
2024-02-13,18
2024-02-14,23
2024-02-15,18
2024-02-16,24
2024-02-17,27
2024-02-18,26
2024-02-19,16
2024-02-20,24
2024-02-21,30
2024-02-22,22
2024-02-23,19
2024-02-24,30
2024-02-25,20
2024-02-26,30
2024-02-27,28
2024-02-28,16
2024-02-29,21
2024-03-01,22
2024-03-02,21
2024-03-03,16
2024-03-04,21
2024-03-05,25
2024-03-06,19
2024-03-07,27
2024-03-08,21
2024-03-09,15
2024-03-10,23
2024-03-11,27
2024-03-12,29
2024-03-13,17
2024-03-14,25
2024-03-15,26
2024-03-16,17
2024-03-17,20
2024-03-18,29
2024-03-19,34
2024-03-20,16
2024-03-21,27
2024-03-22,21
2024-03-23,31
2024-03-24,24
2024-03-25,19
2024-03-26,17
2024-03-27,23
2024-03-28,28
2024-03-29,17
2024-03-30,17
2024-03-31,13
2024-04-01,27
2024-04-02,27
2024-04-03,21
2024-04-04,25
2024-04-05,25
2024-04-06,27
2024-04-07,21
2024-04-08,28
2024-04-09,23
2024-04-10,18
2024-04-11,17
2024-04-12,20
2024-04-13,21
2024-04-14,19
2024-04-15,27
2024-04-16,30
2024-04-17,33
2024-04-18,25
2024-04-19,16
2024-04-20,21
2024-04-21,31
2024-04-22,27
2024-04-23,17
2024-04-24,17
2024-04-25,16
2024-04-26,19
2024-04-27,25
2024-04-28,24
2024-04-29,28
2024-04-30,26
2024-05-01,19
2024-05-02,22
2024-05-03,22
2024-05-04,19
2024-05-05,16
2024-05-06,27
2024-05-07,27
2024-05-08,28
2024-05-09,20
2024-05-10,29
2024-05-11,19
2024-05-12,29
2024-05-13,17
2024-05-14,28
2024-05-15,17
2024-05-16,19
2024-05-17,18
2024-05-18,23
2024-05-19,18
2024-05-20,24
2024-05-21,28
2024-05-22,26
2024-05-23,21
2024-05-24,26
2024-05-25,21
2024-05-26,25
2024-05-27,19
2024-05-28,16
2024-05-29,23
2024-05-30,23
2024-05-31,28
2024-06-01,29
2024-06-02,18
2024-06-03,25
2024-06-04,27
2024-06-05,18
2024-06-06,13
2024-06-07,25
2024-06-08,18
2024-06-09,15
2024-06-10,23
2024-06-11,16
2024-06-12,24
2024-06-13,30
2024-06-14,26
2024-06-15,31
2024-06-16,30
2024-06-17,14
2024-06-18,19
2024-06-19,30
2024-06-20,27
2024-06-21,18
2024-06-22,23
2024-06-23,20
2024-06-24,24
2024-06-25,22
2024-06-26,24
2024-06-27,16
2024-06-28,30
2024-06-29,18
2024-06-30,28
